Task	Dataset	Who uses it? (CBraMod / REVE)	Duration per sample	Number of samples	Num Channels	Num subjects	Original sampling rate	Resampled Sampling rate	Train split	Val split	Test split	Reg / Class	Notes:						
Emotion recognition	FACED	Both	10 s	10332	32	123	250 Hz	200 Hz	subjects 1-80	subjects 81-100	subjects 101-123	Classification (9-class emotion recognition)							
Emotion recognition	SEED-V	CBraMod	1 s	117744	62	16	1000 Hz	200 Hz	5 trials per session	5 trials per session	5 trials per session	Classification (5-class emotion recognition)	(Note: "We used the open-source version of SEED-V with 16 subjects	 rather than the private version with 20 subjects used in LaBraM")					
Motor imagery	PhysioNet-MI	Both	4 s	9837	64	109	160 Hz	200 Hz	subjects 1-70	subjects 71-89	subjects 90-109	Classification (4-class motor imagery)							
Motor imagery	SHU-MI	CBraMod	4 s	11988	32	25	250 Hz	200 Hz	subjects 1-15	subjects 16-20	subjects 21-25	Classification (2-class motor imagery)							
Sleep staging	ISRUC	Both	30 s	89240	6	100	200 Hz	200 Hz	subjects 1-80	subjects 81-90	subjects 91-100	Classification (5-class sleep staging)							
Seizure detection	CHB-MIT	CBraMod	10 s	326993	16 bipolar montage channels	23	256 Hz	200 Hz	subjects 1-19	subjects 20-21	subjects 22-23	Classification (binary seizure vs non-seizure)							
Imagined speech	BCIC2020-IV-3	Both	3 s	6000	64	15	256 Hz	200 Hz	60 trials per class per subject	10 trials per class per subject	10 trials per class per subject	Classification (5-class imagined speech / phrase classification)							
Depression detection	Mumtaz2016	Both	5 s	7143	19	64 (34 w. major depressive disorder, 30 w.o.)	256 Hz	200 Hz	24 depressed (MDD) + 19 control (NC)	5 depressed + 4 control	5 MDD + 5 HC	Classification (binary MDD vs healthy control)	Only used eyes open and eyex closed, i.e. task session excluded, and "EEG signals are band-pass filtered (0.3Hz–75Hz) to remove low and high frequency noise, notch filtered (50Hz) to remove power line noise"						
Vigilance estimation	SEED-VIG	CBraMod	8 s	20355	17	23	200 Hz	200 Hz	subjects 1-15	subjects 16-19	subjects 20-23	Regression / vigilance estimation from PERCLOS-derived target							
Mental workload / arithmetic	MentalArithmetic / MATEEG / MAT (multiple names)	CBraMod	5 s	1707	20	36	500 Hz	200 Hz	subjects 1-28	subjects 29-32	subjects 33-36	Classification (binary, mental arithmetic task condition)	CBraMod: "EEG recordings before mental arithmetic tasks are classified into the label of “without mental stress” and ones during mental arithmetic tasks are classified into the label of “with mental stress”.", "Band-pass filtering (0.5Hz–45Hz) are used to remove low and high frequency noise."						
Event detection	TUEV	Both	5 s	112491	16 bipolar montage channels (though raw has 23)	not explicitly stated in benchmark summary	256 Hz in REVE appendix / 250 Hz in CBraMod table	200 Hz	original train split then 80% of train	original train split then 20% of train	original test split	Classification (6 event types in TUH EEG events benchmark)	CBraMod: "A band-pass filtered (0.3 Hz–75 Hz) was applied to remove the low-frequency and high-frequency noise. A notch filter (60 Hz) was used to remove the power line noise."						
Abnormality detection	TUAB	Both	10 s	409455	16 bipolar montage channels in CBraMod / 23 channels in REVE	not explicitly stated in benchmark summary	256 Hz in REVE appendix / 250 Hz in CBraMod table	200 Hz	original train split then 80% of train	original train split then 20% of train	original test split	Classification (binary abnormal vs normal EEG)							
Motor imagery	BCIC-IV-2a	Both	4 s window from [2 s -  6 s]	5088 in CBraMod / 5184 in REVE	22	9	250 Hz	200 Hz	subjects 1-5	subjects 6-7	subjects 8-9	Classification (4-class motor imagery)							
Sleep staging	HMC	REVE	30 s	137243	4	151	256 Hz	most likely 200Hz like everything else (but not explicitly stated )	not explicitly stated	not explicitly stated	not explicitly stated	Classification (5-class sleep staging)							
Gait prediction	MoBI	LaBraM	2 s	575830	60	8	100 Hz	most likely 200Hz like everything else (but not explicitly stated )	first 10 minutes of each 15-minute training session	last 5 minutes of each 15-minute training session	separate 5-minute closed-loop test session	Regression (12 joint-angle targets: bilateral hip, knee, and ankle angles; targets normalized by dividing by 90)	Setting the stride to 50 ms  the dataset involves 575830 2-second samples and "Since most angles are typically lower than 90◦, the target angles are divided by 90 for normalization. We report the average value of 12 targets for each metric."						
